Title,ID,Year,Election_Type,Pct_Yes,Summary
Fair Gaming Act,Proposition 201,2002,General,20.1,"Analysis by Legislative Council:

Proposition 201 allows racetracks conducting live horse and dog racing to operate slot machines and authorizes the Governor to enter into tribal gaming compacts allowing Indian tribes to operate slot machines and card and table games on tribal land. Racetracks would pay 40% of their ""gross gaming revenue"" (defined as the difference between gaming wins and losses, before deducting costs and expenses) from the operation of slot machines to the state to fund racing and agricultural programs, reading programs for kindergarten through third grade students, programs to provide medical assistance in rural areas and reduce the cost of prescription drugs for Medicare recipients, scholarships, statewide tourism, programs for problem gambling, local government programs to provide enhanced police, fire and emergency services, and to the state fund used for the general operation of state government. Tribes that compact to conduct house-banked blackjack or house-banked poker, or that elect to transfer unused slot machines would contribute 8% of their ""gross gaming revenue"" to the state fund used for the general operation of state government.

Arizona has entered into gaming compacts with 17 of the state's 21 Indian tribes. These compacts permit the tribes to operate specific gaming activities, including slot machines, that are, according to a federal court decision on appeal, illegal off of Indian reservations. These compacts begin to expire in the summer of 2003.

State law currently allows wagering on horse and dog racing at facilities that have state permits. State law does not presently allow horse and dog tracks to offer slot machines.
Proposition 201 allows the operation of slot machines at racetracks and authorizes the Governor to enter into new gaming compacts with Indian tribes as follows:

Term
· Racetracks--Each racetrack permittee must have a license to conduct live horse or dog racing before they may operate slot machines. The license is subject to renewal every 3 years and is revocable at anytime for cause. In addition, continued operation of slot machines will be subject to legislative review of the Arizona Department of Racing and the Arizona Racing Commission. State agencies undergo a complete review every 10 years and are subject to legislative oversight between reviews.
· Gaming compacts - 10 years.

Facilities
· Racetracks - Up to 10 racetracks statewide and up to 2 racetracks in a single county could operate slot machines.
· Gaming compacts - Each tribe may operate 1 to 3 gaming facilities, depending on tribal enrollment.

Games
· Racetracks - A maximum of 6450 slot machines at racetracks statewide would be allowed. The maximum number of slot machines at a single track would range from 550 to 950, depending on how many live races the track offers. This amount will increase every 5 years based on changes in the state's population.
· Gaming compacts - Tribes may offer slot machines, blackjack, poker, wagering on horse and dog races, raffles and bingo. Each tribe may operate 600 to 2400 slot machines, depending on tribal enrollment. A maximum of 1000 slot machines is allowed at a single facility. A tribe that elects expansion of terms found in existing compacts may offer blackjack and poker at 50 to 75 tables per facility, depending on how close the facility is to a heavily populated city.  Additionally, if the tribe elects expansion of terms found in existing compacts, the tribe may contract with another tribe to operate that tribe's slot machines and pay not less than 50% of the net win to the other tribe. The number of slot machines allowed adjusts every 5 years based on changes in the state's population. The Governor and each tribe may renegotiate the number of gaming tables allowed at that time.

Transfer provisions
· Racetracks - There are no provisions for racetracks to transfer their slot machine allotments to other tracks.
· Gaming compacts - Tribes may transfer a portion or all of their slot machine allotments to other tribes; a transferring tribe will receive not less than 50% of the net win from the transferred slot machines.

Revenue
· Racetracks - Tracks must pay 40% of their gross gaming revenue from the operation of slot machines to the state. Monies would be distributed to numerous racing and agricultural programs, to reading programs for kindergarten through third grade students, to provide medical assistance in rural areas and reduce the cost of prescription drugs for Medicare recipients, to provide scholarships, to promote statewide tourism, to combat problem gambling, to cities to provide enhanced police, fire and emergency services and to the state general fund.
· Gaming compacts - Tribes electing expansion of terms found in existing compacts must contribute 8% of their gross gaming revenue to the state in return for the exclusive right to operate house-banked card games such as blackjack and housebanked poker games and to operate transferred slot machines from other tribes up to the limit of 1000 slot machines per casino. Monies go to the state general fund.  Pursuant to current law, tribes will continue to pay their share of regulatory costs incurred by the state.

Disclosure
· Racetracks - Tracks must disclose gross gaming revenue from each racetrack and each gaming activity. This information is open for public inspection at the Arizona Department of Racing.
· Gaming compacts - Each tribe must disclose to the Arizona Department of Gaming its gross gaming revenue for each facility and each gaming activity and its contributions to the state. This information is open for public inspection.

Regulation
· Racetracks - The Arizona Racing Commission must adopt rules setting forth standards for inspecting slot machines and monitoring their use, surveillance, record keeping and reporting requirements and standards for background investigations and licensure of employees. The racetracks would continue to be subject to annual audits.
· Gaming compacts - Compacts must establish standards for investigation, licensing and certification of gaming employees and persons who provide gaming goods or services by tribes and the state, must require minimum standards and operating procedures for gaming, must authorize audits and inspections of gaming facilities by the Arizona Department of Gaming and enforcement by the Department of compact terms, must establish technical specifications and testing and inspection procedures for slot machines and must establish surveillance requirements.

Results of Statewide Expansion of Gambling - Any changes to state law to allow expansion of gambling must be enacted by the voters.
[S]"
"Fish and Game, Preservation",Unknown11,1916,General,51.0,"Summary not available.
[S]"
"Racing, Regulation of Horses",Unknown4,1924,General,25.4,"Summary not available.
[S]"
Relating to Cruel and Inhumane Confinement of Animals,Proposition 204,2006,General,62.0,"ANALYSIS BY LEGISLATIVE COUNCIL

Beginning January 1, 2013, Proposition 204 would amend the Arizona criminal code to make it a class 1 misdemeanor to tether or confine a pig during pregnancy or a calf raised for veal on a farm for all or the majority of a day in a manner that prevents the animal from lying down and fully extending its limbs or turning around freely. The law would not apply to:

1. Pigs or calves during transportation.

2. Pigs or calves in rodeo exhibitions, state or county fair exhibitions or other similar exhibitions.

3. The lawful slaughter of pigs or calves.

4. Pigs or calves involved in lawful scientific or agricultural research.

5. Pigs or calves while undergoing an examination, test, treatment or operation for veterinary purposes.

6. A pig during the seven day period before the pig's expected date of giving birth.

Proposition 204 would tentatively establish an enforcement and administration fund consisting of fines, penalties and other monies generated by the enforcement of this proposition and donations made to the fund. This fund would only be fully implemented if a court ultimately determined that creation of this fund is required by a separate state law dealing with the funding of programs created by a vote of the people.

FISCAL IMPACT STATEMENT

State law requires the Joint Legislative Budget Committee (JLBC) Staff to prepare a summary of the fiscal impact of certain ballot measures. State and local governments may receive additional revenues in the form of fines and penalty assessments from violators of provisions of Proposition 204. The language of the proposition states that the measure does not impose mandatory expenditure of state revenues for any purpose. If, however, a court rules that the proposition results in mandatory expenditure of state revenue, a Humane Treatment of Farm Animals Fund is established and funded through enforcement related revenue and donations. The total amount of fines will depend on the level of compliance, which is difficult to predict in advance.
[S]"
"State Parks Board, Game and Fish Commission; State Lottery Funding",Proposition 200,1990,General,62.1,"To provide for annual funding from state lottery revenues for the Arizona State Parks Board Heritage Fund and the Arizona Game and Fish Commission Heritage Fund for the purposes of preserving, protecting, and enhancing Arizona's natural and scenic environment, historical and cultural heritage, biological diversity, state, regional and local parks for outdoor recreation and open space, wildlife and wildlife habitat, endangered and threatened species, urban wildlife, trails, and for environmental education; to establish definitions and guidelines for determining how such monies and interest earned from such monies shall be expended annually and for the administration of such programs by the Arizona State Parks Board and the Arizona Game and Fish Commission.
[S]"
Game and Fish Commission,Proposed Amendment 34,1942,General,35.5,"Summary not available.
[CA]"
Game and Fish Commission,Proposed Amendment 35,1940,General,27.2,"Summary not available.
[CA]"
Game and Fish Commission,Proposed Amendment 36,1944,General,61.4,"Summary not available.
[CA]"
General Statewide Stock Law Unlawful for Livestock to Run At Large,Initiated Act 1,1950,General,53.3,"Summary not available.
[S]"
Horse Racing and Pari-Mutuel Wagering in Hot Springs,Proposed Amendment 50,1956,General,57.6,"Summary not available.
[CA]"
Levy 1/8 of 1% Sales and Use Tax to be Used by State Game & Fish Commission,Proposed Amendment 67,1984,General,44.7,[CA]
Prohibition of Horse and Dog Racing Betting,Proposed Amendment 49,1956,General,47.2,"Summary not available.
[CA]"
Repeals Horse and Dog Racing,Initiated Act 2,1944,General,42.7,"Summary not available.
[S]"
The Arkansas Animal Cruelty Act,Proposed Initiated Act 1,2002,General,38,"What does this proposed act do?

- The act amends current law to create an act of *aggravated animal cruelty,* a Class D Felony (punishable by up to 6 years in prison and/or a $10,000 fine for a first offense and up to 40 years in prison depending on the number of prior or subsequent felony convictions). The act defines *aggravated animal cruelty* as when a person knowingly tortures, mutilates, maims, burns, poisons, or maliciously kills, starves, or disfigures animals. It leaves unaltered the current Class A Misdemeanor penalties (punishable by up to $1,000 in fines and up to one year in prison) with the exception that it links subsequent Class A Misdemeanor animal cruelty convictions to classify the second offense as a Class D Felony. Felony convictions also carry with them the loss of certain rights commonly taken for granted by citizens. Included are the rights to vote, hold public elected office and own or possess a firearm of any kind. Other fines and costs are linked to court authorized care and keeping of abused animals and psychological care and counseling for those convicted as required by the court.
- It changes the current statute prohibiting *dog* fighting to prohibit *animal* fighting and to further prohibit manufacture or sale of animal fighting equipment, supporting animal fighting, being present at an animal fight presented as a public spectacle or owning/possessing devices with the intent of using such device for animal fighting or to enhance an animal*s fighting ability.  
• The act enables forfeiture of animals that are deemed abused or mistreated in the eyes of the court and specifies the disposition of the animals seized by the court. The statute also sets limits for notice and claims of interest in an animal seized under the Animal Cruelty Act authority (at least 41 days from the date of first publishing the court order). This provision in the act allows the court to take possession of an animal even prior to trial if a preponderance of evidence is established to indicate an act of cruelty or aggravated animal cruelty. This court action can be taken in advance of a person*s conviction or acquittal on either charge of Misdemeanor or Felony Animal Cruelty. This *Statutory Lien* provision in the act is a change from existing law.
- The act enables forfeiture of animals that are deemed abused or mistreated in the eyes of the court and specifies the disposition of the animals seized by the court. The statute also sets limits for notice and claims of interest in an animal seized under the Animal Cruelty Act authority (at least 41 days from the date of first publishing the court order). This provision in the act allows the court to take possession of an animal even prior to trial if a preponderance of evidence is established to indicate an act of cruelty or aggravated animal cruelty. This court action can be taken in advance of a person*s conviction or acquittal on either charge of Misdemeanor or Felony Animal Cruelty. This *Statutory Lien* provision in the act is a change from existing law.
[S]"
Criminal Law.  Prohibition on Slaughter of Horses and Sale of Horsemeat for Human Consumption.  Initiative Statute.,Proposition 6,1998,General,59.4,"Makes possession, transfer, or receipt of horses for slaughter for human consumption a felony.  Makes sale of horsemeat for human consumption a misdemeanor.
[S]"
Expand Required Number of Square Feet for Farm Animal Production Initiative,Proposition 12,2018,General,62.7,"The measure bans the sale of veal from calves, eggs from hens, and the confinement of pregnant pigs in areas below a specified number of square feet. The measure follows Proposition 2 from 2008 which banned the sale of the above if raised in a manner that did not allow the animals to move around freely."
Fish and Game,Proposition 11,1930,General,40.4,"Amends Constitution. Article IV, Section 25 1/2, and adds thereto three sections. Creates Fish and Game Commission of five members appointed by Governor; empowers Commission to establish fish and game districts, determine what animals, birds and fish, are within its jurisdiction, regulate by ordinance approved by Governor, the taking, sale or possession thereof, and issue licenses therefor, fix seasons and limits within maximums prescribed by Legislature, establish refuges, public shooting grounds and fishing waters, conduct investigations of persons, and their books, within its jurisdiction; prescribes penalties; declares provisions effective January 15, 1931.
[CA]"
Fish Nets,Proposition 15,1948,General,Unknown,"Summary not available.
[S]"
Fishing Control,Proposition 5,1938,General,62.2,"Initiative measure presented to, and not acted on by, Legislature. Adds new section to Fish and Game Code. Prohibits operation in State waters of fishing boats which deliver fish, mollusks or crustaceans, wherever caught, to points beyond State waters, unless such delivery is permitted by State Fish and Game Commission. Authorizes Commission to issue revocable permits for such delivery; declaring it shall issue no permits which will tend to deplete the species or result in waste thereof or obstruct the operation of any law. Provides for penalties, seizures and forfeitures for violation.
[S]"
Greyhound Dog Racing - Initiative Statute,Proposition 13,1976,General,24.6,"Establishes California Greyhound Racing Commission to license and regulate the conduct of greyhound races by qualified greyhound racing associations. Applicants for a first license shall pay a fifty thousand-dollar non-refundable application fee. Once issued, licenses shall automatically be renewable for three-year periods unless revoked for just cause. The pari-mutuel method of wagering shall be permitted on greyhound races. A specified percentage of proceeds from pari-mutuel wagering shall be deposited in a Greyhound Racing Fund in the State Treasury, which fund shall be available for specified public purposes when appropriated by the Legislature. Financial impact: Indeterminable.
[S]"
Greyhound Racing,Proposition 2,1946,General,23.0,"Permits greyhound racing and pari-mutuel wagering thereon in counties having population over 175,000. Establishes board to license racing and wagering in accordance with this measure and regulations the board may prescribe. Authorizes 74 racing days per year in Los Angeles County and in San Francisco Metropolitan area, 25 days in other counties. Provides 8 per cent of all sums wagered be retained by pari-mutuel pool operator, 4 per cent be paid to fund for pursuing claims of veterans against the United States or this State, and for veterans' rehabilitation. Provides penalties for violating act.
[S]"
Marine Resources. Initiative Constitutional Amendment.,Proposition 132,1990,General,55.8,"- Establishes Marine Protection Zone within three miles of coast of Southern California.
- Commencing January 1, 1994, prohibits use of gill or trammel nets in zone.
- Between January 1, 1991 and December 31, 1993 requires additional permit for use of gill nets or trammel nets in zone.
- Requires purchase of $3 marine protection stamp for fishermen in zone.
- Establishes permit fees and $3 sportfishing marine protection stamp fee to provide compensation to fishermen for loss of permits after January 1, 1994.
- Directs Fish and Game Commission to establish four new ocean water ecological reserves for marine research.

Summary of Legislative Analyst's Estimate of Net State and Local Government Fiscal Impact:
- Permit fees and marine protection stamp would provide approximately $5 million to Marine Resources Protection Account by 1995.
- Compensation for fishermen who surrender gill and trammel nets between July 1, 1993 and January 1, 1994, could total up to $3.4 million, if necessary legislation enacted.
- Enforcement of measure could cost up to $1.5 million annually.
- Loss of $100,000 annually from reduced fishing license, permit, and tax revenues may result; losses offset in unknown amount by measure's increased fines.
[CA]"
"Park Lands, Historic Sites, Wildlife and Forest Conservation Bond Act.  Initiative Statute.",Proposition 180,1994,Primary,Unknown,"- Authorizes a bond issue of almost $2 billion ($2,000,000,000) for the acquisition, development, restoration and conservation of park lands, historic sites, wildlife areas and forests throughout California, to be repaid from the state General Fund.
- Funds for parks and recreational facilities are included.
- Specifies the lands for acquisition, development, or restoration in detail.
- Designates state agencies to administer the funds with a portion available for grants to local agencies and non-profit organizations for specifically named projects.

Summary of Legislative Analyst's Estimate of Net State and Local Government Fiscal Impact:
- Adoption of this measure would result in state costs of about $3.6 billion to pay off both the principal ($2 billion) and interest ($1.6 billion) on general obligation bonds over 25 years.
- Unknown state administrative costs, potentially in the millions of dollars, to carry out the measure's projects and grant programs.
- State and local government costs, potentially tens of millions of dollars annually, to operate and maintain properties acquired or improved under the measure. Costs partially offset by revenues.
[S]"
Prohibiting Certain Acts with Animals and Use of Certain Instruments to Control Them,Proposition 21,1928,General,36.9,"Defines bull-dogging, bull-riding, bull-dodging, wild-animal-racing, wild-animal-milking, steer-roping, two-men-roping, high-lifing, loin-strapping; prohibits such acts or use of spurs to make animal buck, or terrifying or exciting it by any means, for sport, exhibition, or amusement; declares such prohibition inapplicable to farming or dairying or to branding or breaking animals in raising cattle, horses or mules; prohibits the biting, chewing or twisting any part of an animal's body or holding or controlling an animal with pincers, twisters or similar instruments; and prescribes penalties for violations.
[S]"
Prohibiting Vivisection,Proposition 28,1922,General,30.5,"Prohibits the vivisection or torture of human beings, animals, or other living creatures, for experimental or pathological investigations, or other purposes; authorizes Justice of the Peace to issue warrant for entry into places where such acts have been, or are about to be, performed, for arrest of persons and seizure of instruments engaged therein; excepts certain acts relating to animals and fowls and surgical operations, or medical aid to, human beings, animals and other living creatures, to relieve or care actual injury, deformity or disease; prescribes penalties and repeals conflicting acts.
[S]"
Prohibiting Vivisection,Proposition 7,1920,General,34.1,"Declares it unlawful to dissect, vivisect or torture any living person or living animal, or aid or abet therein for purpose of experimental physiological or experimental pathological investigation in or at any university, school, society, college, hospital, institution or other place within California; declares nothing in act shall prohibit the dissection or vivisection, or aiding or abetting therein, of any living person when done with latter's consent, or prohibit surgical operations upon or rendering medical aid in case of physical injury, deformity or sickness of any person or animal; provides penalties and repeals conflicting acts.
[S]"
Racing,Proposition 6,1926,General,35.4,"Creates board, appointed by Governor, to regulate and license horse racing and Pari-Mutuel betting within race track enclosure; limits racing period at each track; prohibits licensing racing at tracks constructed, without board's approval, after November 1, 1926; limits licensee's return to nine per cent on capital invested; prescribes as license fees five hundred dollars each race day and licensee's net profits above return allowed; appropriates fees to board's salaries and expenses, dividing balance equally between Veterans' Welfare Board and State Agricultural Board; authorizes licenses for limited period at county fairs or agricultural exhibits.
[S]"
Racing Commission and Horse Racing,Proposition 7,1912,General,29.8,"An act to prohibit bookmaking and pool-selling, and to provide for the appointment of a state racing commission to grant licenses for horse racing in the State of California, for a limited period, and the permitting of wagering upon such races by the Paris mutual and auction pool systems only.
[S]"
Regulation of Commercial Fishing,Proposition 6,1948,General,Unknown,"Summary not available.
[S]"
Standards for Confining Farm Animals.  Initiative Statute.,Proposition 2,2008,General,63.5,"BACKGROUND
Animal agriculture is a major industry in California. Over 40 million animals are raised for commercial purposes on California farms and ranches. California’s leading livestock commodities are milk and other dairy products, cattle, and chickens.

In recent years, there has been a growing public awareness about farm animal production methods, and how these practices affect the treatment of the animals. In particular, concerns have been expressed about some animal farming practices, including the housing of certain animals in confined spaces, such as cages or other restrictive enclosures.

Partly in response to these concerns, various animal farming industries have made changes in their production practices. For example, certain industries have developed guidelines and best practices aimed, in part, at improving the care and handling of farm animals.

State law prohibits cruelty to animals. Under state law, for example, any person who keeps an animal confined in an enclosed area is required to provide it with an adequate exercise area, and permit access to adequate shelter, food, and water. Other laws specifically related to farm animals generally focus on the humane transportation and slaughter of these animals. Depending upon the specific violation, an individual could be found guilty of a misdemeanor or felony punishable by a fine, imprisonment, or both.

PROPOSAL
Beginning January 1, 2015, this measure prohibits with certain exceptions the confinement on a farm of pregnant pigs, calves raised for veal, and egg-laying hens in a manner that does not allow them to turn around freely, lie down, stand up, and fully extend their limbs. Under the measure, any person who violates this law would be guilty of a misdemeanor, punishable by a fine of up to $1,000 and/or imprisonment in county jail for up to six months.

FISCAL EFFECTS
Compared to current practice most commonly used by California farmers in the affected industries, this measure would require more space and/or alternate methods for housing pregnant pigs, calves raised for veal, and egg-laying hens. As a result, this measure would increase production costs for some of these farmers. To the extent that these higher production costs cause some farmers to exit the business, or otherwise reduce overall production and profitability, there could be reduced state and local tax revenues. The magnitude of this fiscal effect is unknown, but potentially in the range of several million dollars annually.

Additionally, this measure could result in unknown, but probably minor, local and state costs for enforcement and prosecution of individuals charged with the new animal confinement offense. These costs would be partially offset by revenue from the collection of misdemeanor fines."
Trapping Practices.  Bans Use of Specified Traps and Animal Poisons.  Initiative Statute.,Proposition 4,1998,General,57.5,"Prohibits trapping fur-bearing or nongame mammals with specified traps.  Prohibits commerce in fur or animals so trapped.  Generally prohibits steel-jawed leghold traps on mammals.  Prohibits use of specified poisons on animals.
[S]"
Wildlife Protection. Initiative Statute,Proposition 117,1990,Primary,52.4,"Establishes Habitat Conservation Fund. Transfers $30 million to Fund annually from existing environmental funds and General Fund. Monies from Fund appropriated to Wildlife Conservation Board; Coastal, Tahoe, Santa Monica Mountains Conservancies; state and local parks programs. Funds to be used principally for acquisition of deer and mountain lion habitat; rare and endangered species habitat. Remaining funding for wetlands; riparian and aquatic habitat; open space; other environmental purposes. Prohibits taking of mountain lions unless for protection of life, livestock or other property. Permit for taking required, but prohibits use of poison, leg-hold or metal-jawed traps and snares.

Summary of Legislative Analyst's estimate of net state and local government fiscal impact: For 1990-91, approximately $18 million from Unallocated Account in Cigarette and Tobacco Products Surtax Fund and $12 million from General Fund will be transferred to the Habitat Conservation Fund, unless Legislature makes transfers from other funds. In subsequent years, General Fund transfers may increase if sales of cigarettes and tobacco products decline. Estimated annual costs of managing acquired properties could exceed $1 million, supported by sources other than Habitat Conservation Fund.
[S]"
"Wildlife, Coastal, And Park Land Conservation Bond Act.",Proposition 70,1988,Primary,65.1,"This act authorizes a general obligation bond issue of seven hundred seventy-six million dollars ($776,000,000) to provide funds for acquisition, development, rehabilitation, protection, or restoration of park, wildlife, coastal, and natural lands in California including lands supporting unique or endangered plants or animals. Funds from bond sales would be administered primarily by or through California Department of Parks and Recreation, Wildlife Conservation Board, and State Coastal Conservancy with funds made available to other state and local agencies and nonprofit organizations. Contains provisions in event other conservation bond acts are enacted.

Summary of Legislative Analyst's estimate of net state and local government fiscal impact: Assuming all the bonds are sold at 7.5 percent interest and state repays the principal and interest over 20 years, the overall cost of repayment would be about $1.4 billion. To the extent these bonds increase amount state borrows, state and local governments may pay more interest on other bond programs. State income taxes could be reduced to the extent California taxpayers invest in these tax-free bonds instead of other taxable investments.
[S]"
Black Bear Hunting,Amendment 10,1992,General,69.7,"The proposed amendment to the Colorado Revised Statutes would:
- prohibit the taking of black bears from March 1 to September 1 of any year and prohibit the taking of black bears at any time with the use of bait or dogs;
- provide exemptions from the above restrictions for employees of the Division of Wildlife and US Department of Agriculture, when acting in their official capacities, or for anyone who takes a black bear in defense of life and property;
- provide that violation of this statute shall be a class 1 misdemeanor, and, if convicted, there shall be a five-year suspension of wildlife license privileges for a first offense and a permanent suspension of such privileges for a second offense; and
- prohibit the Wildlife Commission from adopting any regulation in conflict with provisions of this new section."
Concerning Experimental Operations on Human Beings and Dumb Animals,Amendment 5,1922,General,16.6,"Summary not available.
[S]"
Creating a Wildlife Management Commission and a Department of Wildlife Conservation,Amendment 3,1960,General,31.3,"Summary not available.
[CA]"
"Establishing a Racing Commission and Legalizing Horse and Dog Racing, and Allocating Revenues Therefrom 85% to the Counties and 15% for Information and Publicity",Amendment 2,1940,General,42.3,"Summary not available.
[S]"
"Lottery Revenues for Parks, Recreation, Wildlife",Amendment 8,1992,General,58.2,"The proposed amendment to the Colorado Constitution would:
- permanently dedicate a portion of the net proceeds of every state-supervised lottery game to the ""Great Outdoors Colorado"" program, beginning July 1, 1993.  The transfer of lottery funds would be phased in over a five-year period in order to fulfill most of the state's current outstanding obligations for capital construction;
- create the Great Outdoors Colorado Trust Fund as a new fund within the state treasury and make the fund not subject to budgetary oversight or to legislative approriation or restrictions;
- provide funds for the preservation, protection, enhancement, and management of the state's wildlife, park, river, trail, and open space heritage.  Funds would be available for distribution to the state Division of Parks and Outdoor Recreation, the state Division of Wildlife, and to local units of government for specified purposes related to open space, parks, environmental education, and preservation of natural areas;
- continue existing lottery distributions to local governments through the Conservation Trust Fund as well as current allocations to the Division of Parks and Outdoor Recreation.  Existing distributions to capital construction would decrease beginning in 1993 by $7 million to $11 million annually and would be reduced by up to $35 million per year in 1998.  Funds remaining would be transferred to the state general fund;
- establish a new board, the State Board of the Great Outdoors Colorado Trust Fund, to be appointed by the Governor and confirmed by the Senate.  The board is not subject to any order or resolution of the General Assembly regarding its organization, powers, revenues, and expenses;
- state that lottery funds are to be used in addition to any other funds that would ordinarily be appropriated to the Department of Natural Resources or its divisions, and direct the General Assembly not to substitute lottery funds for other funds that owuld otherwise be appropriated for park, wildlife, or outdoor recreation purposes; and
- prohibit any interference with Colorado water law; prohibit the acquisition of land by eminent domain by state agencies for purposes of the program; and require payments in lieu of taxes to local governments for properties acquired by state agencies under the program.
[CA]"
Prohibited Methods of Taking Wildlife,Amendment 14,1996,General,52.1,"The proposed amendment to the Colorado Constitution:
- Prohibits the use of leghold and instant-kill, body-gripping design traps, snares, or poisons to take wildlife on public and private land;

- Permits the use of traps, snares, or poison by:
- private landowners, lessees, or their employees - for one 30-day period per year - when there has been ongoing crop or livestock damage on private property which cannot be stopped by other means;
- governmental departments of health to protect human health and safety;
- individuals to control birds or rodents, except beaver and muskrat, as permitted by other federal or state laws, and;
- employees of the Colorado Division of Wildlife to take or manage fish or other aquatic wildlife;

- Provides that nonlethal traps, snares, and nets may be used to take wildlife for scientific research, falconry, relocation, or medical treatment under rules of the Colorado Wildlife Commission; and

- Specifies that the amendment does not apply to the taking of wildlife using firearms, fishing equipment, archery equipment, or other hand-held devices authorized by law.
[CA]"
